unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.55E+12,22-02-2019,BTC,3913.81,3954.99,3885.12,3944.14,1588.267872,6264350.843
1.55E+12,21-02-2019,BTC,3942.42,3987,3870,3913.81,2401.979525,9400891.484
1.55E+12,20-02-2019,BTC,3894.14,3966.67,3870,3942.42,3024.472161,11923739.54
1.55E+12,19-02-2019,BTC,3866,3971.46,3850,3894.14,3382.526905,13172033.32
1.55E+12,18-02-2019,BTC,3688.93,3955.42,3659.08,3866,3501.781438,13537887.04
1.55E+12,17-02-2019,BTC,3589.18,3732.42,3557.38,3688.93,2278.000711,8403385.163
1.55E+12,16-02-2019,BTC,3586.96,3606.92,3571.09,3589.18,918.6091791,3297053.693
1.55E+12,15-02-2019,BTC,3574.21,3615.79,3544.95,3586.96,2935.640607,10530025.43
1.55E+12,14-02-2019,BTC,3572.79,3587.48,3537,3574.21,2202.686014,7872862.378
1.55E+12,13-02-2019,BTC,3598.01,3657,3561.22,3572.79,1910.231594,6824856.338
1.55E+12,12-02-2019,BTC,3573.57,3618.56,3559.14,3598.01,3011.435273,10835174.22
1.55E+12,11-02-2019,BTC,3594.48,3609.84,3550.1,3573.57,3161.296206,11297113.28
1.55E+12,10-02-2019,BTC,3616.3,3655.04,3580.17,3594.48,1285.569917,4620955.356
1.55E+12,09-02-2019,BTC,3607.63,3638.94,3595.01,3616.3,1308.139855,4730626.158
1.55E+12,08-02-2019,BTC,3361.55,3711.26,3356.14,3607.63,5821.034371,21000138.23
1.55E+12,07-02-2019,BTC,3374.42,3380,3343.84,3361.55,1521.744054,5115418.723
1.55E+12,06-02-2019,BTC,3377.88,3386.54,3331.44,3374.42,1525.573645,5147926.219
1.55E+12,05-02-2019,BTC,3412.41,3445.22,3355.49,3377.88,1824.059283,6161453.372
1.55E+12,04-02-2019,BTC,3413.3,3435,3397,3412.41,1216.421528,4150928.987
1.55E+12,03-02-2019,BTC,3444.92,3446.75,3390,3413.3,766.3676084,2615842.558
1.55E+12,02-02-2019,BTC,3440,3484.99,3412.18,3444.92,735.907935,2535143.963
1.55E+12,01-02-2019,BTC,3395.34,3458.18,3375,3440,2376.020403,8173510.186
1.55E+12,31-01-2019,BTC,3448.33,3451.76,3370.61,3395.34,2938.065262,9975730.508
1.55E+12,30-01-2019,BTC,3403.56,3472,3403.56,3448.33,3183.690073,10978413.99
1.55E+12,29-01-2019,BTC,3408,3419.3,3321,3403.56,4015.383158,13666597.5
1.55E+12,28-01-2019,BTC,3469.88,3477.21,3369.99,3408,3569.000058,12163152.2
1.55E+12,27-01-2019,BTC,3562.47,3562.67,3464.11,3469.88,1562.84546,5422886.205
1.55E+12,26-01-2019,BTC,3572,3659.38,3525.58,3562.47,1126.673886,4013741.92
1.55E+12,25-01-2019,BTC,3570.03,3573.67,3510,3572,2509.035655,8962275.361
1.55E+12,24-01-2019,BTC,3535.59,3596.65,3528.54,3570.03,1206.961901,4308890.196
1.55E+12,23-01-2019,BTC,3582.22,3611.57,3523.34,3535.59,2085.041627,7371852.326
1.55E+12,22-01-2019,BTC,3535.02,3611.63,3423.74,3582.22,2309.742676,8274006.41
1.55E+12,21-01-2019,BTC,3536.43,3568.78,3487.29,3535.02,1261.136979,4458144.442
1.55E+12,20-01-2019,BTC,3697.44,3700.66,3474,3536.43,2403.02456,8498128.145
1.55E+12,19-01-2019,BTC,3623.95,3760,3616.47,3697.44,2098.193968,7757946.305
1.55E+12,18-01-2019,BTC,3625.92,3650.01,3577.28,3623.95,1674.370051,6067833.345
1.55E+12,17-01-2019,BTC,3585.63,3657.79,3545.43,3625.92,2019.817787,7323697.711
1.55E+12,16-01-2019,BTC,3594.78,3663.58,3570.1,3585.63,5046.755354,18095797.4
